
---------- Begin Simulation Statistics ----------
simSeconds                                   0.035628                       # Number of seconds simulated (Second)
simTicks                                  35628131000                       # Number of ticks simulated (Tick)
finalTick                                 35628131000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    117.75                       # Real time elapsed on the host (Second)
hostTickRate                                302571396                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2276716                       # Number of bytes of host memory used (Byte)
simInsts                                     45935199                       # Number of instructions simulated (Count)
simOps                                       45935256                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   390104                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     390104                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         71256264                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.551234                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.644648                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        47206964                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    11005                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       46908210                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      2                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1282712                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            478694                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               10638                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            71044780                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.660263                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.034299                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  45265577     63.71%     63.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12083321     17.01%     80.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7428147     10.46%     91.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5345494      7.52%     98.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    730149      1.03%     99.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    151860      0.21%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     29536      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     10567      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       129      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              71044780                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
