bench,l1_size,sim_seconds,sim_ticks,sim_insts,num_cycles,ipc,cpi,i_miss_rate,d_miss_rate,l2_miss_rate,branch_mispred_rate
blowfish,1kB,,,,1926265.0,0.198235,5.044507,0.549788,0.492282,0.04315,0.03831302557061953
blowfish,2kB,,,,1860899.0,0.205199,4.873326,0.027311,0.410007,0.084229,0.03825535017369301
blowfish,4kB,,,,1742826.0,0.2191,4.564116,0.024022,0.274572,0.123307,0.038222565025495994
blowfish,8kB,,,,1516968.0,0.251722,3.972639,0.020388,0.057882,0.58976,0.03820455713551482
blowfish,16kB,,,,1516823.0,0.251746,3.972259,0.018823,0.057332,0.604801,0.03818983602346192
dijkstra,1kB,,,,198248490.0,0.231705,4.31583,0.141679,0.236114,0.001019,0.019924585344265777
dijkstra,2kB,,,,190093337.0,0.241645,4.138294,0.121137,0.175002,0.001287,0.01990770640338301
dijkstra,4kB,,,,181453086.0,0.253152,3.950197,0.05594,0.131008,0.001918,0.019847106291534126
dijkstra,8kB,,,,166917709.0,0.275197,3.633765,0.0052,0.061427,0.004869,0.019862287891397445
dijkstra,16kB,,,,162745041.0,0.282253,3.542927,0.000344,0.041169,0.007684,0.019841377871871294
poly_mult,1kB,,,,,,,,,,
